Año,idmunici,ccdd,ccpp,ccdi,Ubigeo,Departamento,Provincia,Distrito,Tipomuni,VFI,P04_1,P04_2,P04_3,P04_4,P04_5,P04_6,P05_CC,P05_1,P05_2,P05_3,P06_CC,P06,P07,P08,P09,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,VFI_P11A,P11A_1,P11A_1_1,P11A_1_2,P11A_2,P11A_2_1,P11A_2_2,P11A_3,P11A_3_1,P11A_3_2,P11A_4,P11A_4_1,P11A_4_2,P11A_5,P11A_5_1,P11A_5_2,P11A_6,P11A_6_1,P11A_6_2,P11A_7,P11A_7_1,P11A_7_2,P11A_8,P11A_8_1,P11A_8_2,P11A_9,P11A_9_1,P11A_9_2,P11A_10,P11A_10_1,P11A_10_2,P11A_10_O,VFI_P11B,P11B_11,P11B_11_1,P11B_11_2,P11B_12,P11B_12_1,P11B_12_2,P11B_13,P11B_13_1,P11B_13_2,P11B_14,P11B_14_1,P11B_14_2,P11B_15,P11B_15_1,P11B_15_2,P11B_16,P11B_16_1,P11B_16_2,P11B_17,P11B_17_1,P11B_17_2,P11B_18,P11B_18_1,P11B_18_2,P11B_18_O,VFI_P12,P12_1,P12A_1,P12_2,P12A_2,VFI_P13,P13_1,P13A_1,P13_2,P13A_2,P13_3,P13A_3,P13_4,P13A_4,P13_5,P13A_5,P13_6,P13A_6,P13_7,P13A_7,P13_10,P13A_10,P13_8,P13A_8,P13_9,P13A_9,P13A_9_O,P13A_T,VFI_P14,P14,P14A_1,P14A_2,VFI_P15,P15_1,P15A_1,P15_2,P15A_2,P15_3,P15A_3,P15_4,P15A_4,P15_5,P15A_5,P15_6,P15A_6,P15A_6_O,VFI_P16,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P16_9,P16_9_O,VFI_P17,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P17_7,P17_8,P17_9,P17_10,P17_11,P17_12,P17_13,P17_13_O,P17_14,VFI_P18,P18,P18_Portal
2025,10101,1,1,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,1,2,ORTIZ ARRIETA,588, , , ,41, ,992871008,960084149,41,477002,WWW.FACEBOOK.COM/MUNICHACHAPOYAS,ALCALDIA@MUNICHACHAPOYAS.GOB.PE,WWW.GOB.PE/MUNICHACHAPOYAS,PERCY,ZUTA,CASTILLO,2.0, ,ALCALDIA@MUNICHACHAPOYAS.GOB.PE,1.0,1.0,14,1,1.0,10,5,2.0, , ,1.0,2,2,1.0,7,0,2.0, , ,1.0,4,0,2.0, , ,1.0,7,0,2.0, , , ,1.0,1.0,1,0,1.0,1,0,2.0, , ,1.0,1,0,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, ,1.0,4,1.0,2.0, ,2.0, ,1.0,2,2.0, ,1.0,47,1.0,64,1.0,47,2.0, ,1.0,2,2.0, , ,162.0,1.0,1.0,162,5,1.0,2.0, ,1.0,10,1.0,4,1.0,45,1.0,12,1.0,3,LECTOR BIOMÃTRICO,1.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0, ,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,12.0,13.0,SISTEMA DE LICENCIA DE CONDUCIR,0.0,1.0,1.0,WWW.TRANSPARENCIA.GOB.PE/ENLACES/PTE_TRANSPARENCIA_ENLACES.ASPX?ID_ENTIDAD=193
2025,10102,1,1,2,10102,AMAZONAS,CHACHAPOYAS,ASUNCION,2,1,3,NICARMAL,S/N, , , ,51, ,985673391,931587339,41,260253,WWW.FACEBOOK.COM/SHARE/P/1BFPWE8EJ6/,MUNIASUNCION.TRAMITE@GMAIL.COM,WWW.MUNIASUNCION.GOB.PE,ANIBAL BILL,ATANACIO,VARGAS,2.0,985673391,BIL2292@HOTMAIL.COM,1.0,2.0, , ,1.0,1,1,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, ,1.0,2,1.0,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,1.0,3,1.0,2,2.0, ,2.0, ,2.0, , ,5.0,1.0,1.0,5,4,1.0,1.0,1,2.0, ,2.0, ,1.0,1,1.0,1,2.0, , ,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0, ,0.0,1.0,3.0, 
2025,10103,1,1,3,10103,AMAZONAS,CHACHAPOYAS,BALSAS,2,1,1,MARAÃON,565, , , ,1, ,994923893, ,1,956890025,WWW.FACEBOOK.COM/SHARE/1CPB6MIVVX/?MIBEXTID=WWXIFR,MUNIBALSAS2019@GMAIL.COM,WWW.GOB.PE/MUNIBALSAS,MANUEL,ESPINOZA,ZAMORA,2.0,953046677,MAESZA_65@HOTMAIL.COM,1.0,1.0,2,0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, ,1.0,2,1.0,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,1.0,4,2.0, ,2.0, ,2.0, ,2.0, , ,4.0,1.0,1.0,4,4,1.0,2.0, ,2.0, ,1.0,2,1.0,1,2.0, ,2.0, , ,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,14.0,1.0,1.0,WWW.GOB.PE/MUNIBALSAS
2025,10104,1,1,4,10104,AMAZONAS,CHACHAPOYAS,CHETO,2,1,2,UNIÃN,S/N, , , ,1, , , , , , ,MUNICHETO2019@GMAIL.COM, ,EDWIN,ROJAS,LOJA,2.0,907969367,LOJITA1982@GMAIL.COM,1.0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,1.0,1,0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, ,2.0, ,1.0,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,1.0,1,INTEL GENUINE,1.0,1.0,1.0,1,4,1.0,1.0,2,2.0, ,2.0, ,2.0, ,1.0,1,2.0, , ,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0, ,0.0,1.0,4.0, 
2025,10105,1,1,5,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,2,1,3,SAN MARTIN,S/N, , , ,41, , , ,1,960790130,WWW.FACEBOOK.COM/SHARE/1ERCMKQAWB/,MDCHILIQUIN@GMAIL.COM,WWW.GOB.PE/MUNICHILIQUIN,LAZARO,QUIROZ,CHUQUI,2.0,939382152,MDCHILIQUIN@GMAIL.COM,1.0,1.0,1,1,2.0, , ,2.0, , ,1.0,1,0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, ,2.0, ,1.0,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,1.0,2,1.0,1,2.0, ,2.0, ,2.0, , ,3.0,1.0,1.0,3,1,1.0,1.0,1,2.0, ,2.0, ,1.0,2,2.0, ,2.0, , ,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,1.0,4.0, 
2025,10106,1,1,6,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,2,1,2,SAN MARTIN,S/N, , , ,41, ,956653855,943931748,41,811413,WWW.FACEBOOK.COM/MUNICIPLAIDAD,CHUQUIBAMBADMESADEPARTES@GMAIL.COM,WWW.MUNIDISTRITALDECHUQUIBAMBA.ONLINE/QUIENES-SOMOS/,ROMEL,BARDALES,ORTIZ,2.0,956653855,ROMELBARDALES@HOTMAIL.ES,1.0,2.0, , ,1.0,0,1,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,1.0,0,1,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, ,1.0,1,1.0,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,1.0,4,2.0, ,2.0, ,2.0, ,2.0, , ,4.0,1.0,1.0,4,4,1.0,1.0,1,2.0, ,1.0,1,1.0,2,1.0,1,2.0, , ,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0, ,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0, ,0.0,1.0,4.0, 
2025,10107,1,1,7,10107,AMAZONAS,CHACHAPOYAS,GRANADA,2,1,3,ALEGRÃA,S/N, , , ,41, , , ,41,970287839, ,MUNIGRANADA2023.2026@GMAIL.COM, ,LENIN,CIEZA,FONSECA,2.0,970287839, ,1.0,1.0,1,0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, ,2.0, ,1.0,2.0, ,2.0, ,2.0, ,2.0, ,1.0,1,1.0,2,1.0,1,2.0, ,2.0, ,2.0, , ,4.0,1.0,1.0,2,1,1.0,2.0, ,2.0, ,2.0, ,1.0,3,2.0, ,2.0, , ,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,14.0,1.0,3.0, 
2025,10108,1,1,8,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,2,1,2,JOSE OLAYA,S/N, , , ,41, ,942625519,935923162,41, ,WWW.FACEBOOK.COM/SHARE/1APUW9FGST/,AZMUNIHUANCAS@GMAIL.COM, ,ZOSIMO,MELENDEZ,CASTILLO,2.0,935923162,ZOSIMOMELEDES@GMAIL.COM,1.0,1.0,1,1,2.0, , ,2.0, , ,1.0,1,1,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, ,1.0,2,1.0,2.0, ,2.0, ,1.0,2,1.0,2,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,2.0, , ,4.0,1.0,2.0, , ,1.0,1.0,1,2.0, ,1.0,4,2.0, ,2.0, ,2.0, , ,1.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0, ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,14.0,1.0,4.0, 
2025,10109,1,1,9,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,2,1,1,ALONSO DE ALVARADO,750, , , ,41, ,943990986,942687383,41,941902309, ,MUNICIPALIDADDELAJALCA@GMAIL.COM,WWW.MUNICIPALIDADDISTRITALJALCAGRANDE.COM,EZEQUIEL,SALON,CULQUI,2.0,943990986,EZACU@GMAIL.COM,1.0,1.0,1,0,1.0,3,0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, ,1.0,1,1.0,1.0,5,1.0,2,2.0, ,2.0, ,1.0,3,2.0, ,2.0, ,2.0, ,2.0, ,2.0, , ,10.0,1.0,1.0,8,2,1.0,2.0, ,2.0, ,1.0,1,1.0,2,1.0,2,2.0, , ,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0, ,1.0,1.0,2.0,3.0,0.0,5.0,6.0,7.0,0.0,9.0,10.0,0.0,12.0,0.0, ,0.0,1.0,4.0, 
2025,10110,1,1,10,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,2,1,2,SUCRE,121, , , ,51, ,918341273,929028502,51,945413909,WWW.FACEBOOK.COM/MUNICIPALIDADDISTRITALDELEIMEBAMBA,MUNICIPALIDADLEIMEBAMBA@GMAIL.COM,WWW.GOB.PE/MUNILEIMEBAMBA,LUIS ALEX,ZUMAETA,BARDALES,2.0,929028502,ALEXZUMAETA04@GMAIL.COM,1.0,1.0,2,1,2.0, , ,2.0, , ,1.0,0,2,2.0, , ,2.0, , ,1.0,1,0,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, , ,1.0,1,0,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , ,2.0, , , ,1.0,2.0, ,1.0,1,1.0,1.0,8,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,2.0, ,2.0, , ,8.0,1.0,1.0,7,1,1.0,1.0,1,2.0, ,1.0,5,2.0, ,2.0, ,2.0, , ,1.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,8.0,0.0, ,1.0,1.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,12.0,0.0, ,0.0,1.0,2.0,WWW.GOB.PE/MUNILEIMEBAMBA
